tree.number,REPLCT,TRT,day,diameter
5.2,5,2,0,28.66
5.2,5,2,14,28.72
5.2,5,2,28,28.78
5.2,5,2,32,28.84
5.2,5,2,42,28.86
5.2,5,2,45,28.86
5.2,5,2,50,28.86
5.2,5,2,53,28.87
5.2,5,2,57,28.91
5.2,5,2,60,28.92
5.2,5,2,63,28.93
5.2,5,2,69,28.93
5.2,5,2,73,28.93
5.2,5,2,79,28.93
5.3,5,3,0,28.46
5.3,5,3,14,28.52
5.3,5,3,28,28.55
5.3,5,3,32,28.64
5.3,5,3,42,28.65
5.3,5,3,45,28.65
5.3,5,3,50,28.65
5.3,5,3,53,28.66
5.3,5,3,57,28.71
5.3,5,3,60,28.73
5.3,5,3,63,28.74
5.3,5,3,69,28.74
5.3,5,3,73,28.74
5.3,5,3,79,28.74
5.4,5,4,0,27.7
5.4,5,4,14,27.73
5.4,5,4,28,27.7
5.4,5,4,32,27.88
5.4,5,4,42,27.89
5.4,5,4,45,27.89
5.4,5,4,50,27.91
5.4,5,4,53,27.91
5.4,5,4,57,27.96
5.4,5,4,60,27.97
5.4,5,4,63,27.99
5.4,5,4,69,28
5.4,5,4,73,27.99
5.4,5,4,79,27.98
5.5,5,5,0,29.89
5.5,5,5,14,29.97
5.5,5,5,28,30.05
5.5,5,5,32,30.16
5.5,5,5,42,30.17
5.5,5,5,45,30.17
5.5,5,5,50,30.18
5.5,5,5,53,30.18
5.5,5,5,57,30.24
5.5,5,5,60,30.24
5.5,5,5,63,30.26
5.5,5,5,69,30.26
5.5,5,5,73,30.26
5.5,5,5,79,30.25
5.6,5,6,0,32.79
5.6,5,6,14,32.87
5.6,5,6,28,32.93
5.6,5,6,32,32.99
5.6,5,6,42,32.99
5.6,5,6,45,33.03
5.6,5,6,50,33.03
5.6,5,6,53,33.03
5.6,5,6,57,33.04
5.6,5,6,60,33.05
5.6,5,6,63,33.05
5.6,5,6,69,33.05
5.6,5,6,73,33.05
5.6,5,6,79,33.03
5.7,5,7,0,29.84
5.7,5,7,14,29.89
5.7,5,7,28,29.92
5.7,5,7,32,30.02
5.7,5,7,42,30.02
5.7,5,7,45,30.02
5.7,5,7,50,30.02
5.7,5,7,53,30.02
5.7,5,7,57,30.06
5.7,5,7,60,30.07
5.7,5,7,63,30.08
5.7,5,7,69,30.09
5.7,5,7,73,30.09
5.7,5,7,79,30.08
6.1,6,1,0,29.66
6.1,6,1,14,29.71
6.1,6,1,28,29.77
6.1,6,1,32,29.85
6.1,6,1,42,29.86
6.1,6,1,45,29.86
6.1,6,1,50,29.87
6.1,6,1,53,29.87
6.1,6,1,57,29.91
6.1,6,1,60,29.92
6.1,6,1,63,29.93
6.1,6,1,69,29.94
6.1,6,1,73,29.94
6.1,6,1,79,29.94
6.2,6,2,0,31.49
6.2,6,2,14,31.6
6.2,6,2,28,31.63
6.2,6,2,32,31.72
6.2,6,2,42,31.73
6.2,6,2,45,31.74
6.2,6,2,50,31.73
6.2,6,2,53,31.78
6.2,6,2,57,31.82
6.2,6,2,60,31.84
